Avatel Telecom - Madrid,37211,iPrimus,305.24,2.22,32.98,50.3,11.46,19.3,0.0,2022-06-06,17:59:32.12,36.0,https://www.speedtest.net/result/c/33a3776b-392b-4ae3-b7cd-1bf11980682a
Telia - Helsinki,14928,iPrimus,342.86,1.14,68.29,98.8,12.93,22.2,0.0,2022-06-06,18:00:08.63,36.51,https://www.speedtest.net/result/c/4e806d98-947e-466c-9308-2b832f35a296
RETN - Helsinki,31122,iPrimus,272.39,0.79,89.40,130.8,16.61,28.5,0.0,2022-06-06,18:00:43.95,35.32,https://www.speedtest.net/result/c/f323a320-cad6-4d00-a604-b2f2d415202d
Frontier - Los Angeles; CA,14236,iPrimus,177.61,2.43,92.55,151.5,16.59,23.6,0.0,2022-06-06,18:01:17.48,33.53,https://www.speedtest.net/result/c/c5b940ec-207d-45b4-b3e0-7d9f04e522c9
Spectrum - Los Angeles; CA,16974,iPrimus,181.68,1.72,104.48,167.0,16.91,30.5,0.0,2022-06-06,18:01:51.81,34.33,https://www.speedtest.net/result/c/b6f30904-0c9c-4f5a-9d53-2b944f9ede34
Frontier - Chicago; IL,14228,iPrimus,219.87,0.73,99.99,142.9,15.01,25.0,0.0,2022-06-06,18:02:27.25,35.43,https://www.speedtest.net/result/c/f70d10be-3925-4b31-941b-e767fb92053c
Windstream - Chicago; IL,17384,iPrimus,219.51,1.31,67.89,105.8,16.80,27.8,0.0,2022-06-06,18:03:02.83,35.58,https://www.speedtest.net/result/c/0c5d2ceb-8cf8-47db-a2ca-41813861a253
Frontier - Dallas; TX,14238,iPrimus,209.24,0.71,70.09,107.0,12.30,15.4,0.0,2022-06-06,18:03:35.08,32.25,https://www.speedtest.net/result/c/a088b256-ed29-4cce-8ed1-4d728be643ad
Windstream - Dallas; TX,17386,iPrimus,211.98,0.99,99.67,153.6,16.31,26.6,0.0,2022-06-06,18:04:10.40,35.31,https://www.speedtest.net/result/c/80a97770-fd4d-439a-908f-2ce7c47f1c25
Frontier - Miami; FL,14237,iPrimus,236.62,0.58,52.36,78.0,15.06,25.9,0.0,2022-06-06,18:04:45.65,35.25,https://www.speedtest.net/result/c/897c944d-663d-413c-8574-90d87cb8afb9
Netprotect - Miami; FL,37499,iPrimus,232.76,2.63,101.51,152.2,17.18,20.4,0.0,2022-06-06,18:05:18.00,32.35,https://www.speedtest.net/result/c/0b16c243-9b1c-4b72-96da-34af431345e4
Spectrum - New York; NY,16976,iPrimus,237.27,0.49,94.49,144.8,16.30,23.0,0.0,2022-06-06,18:05:52.33,34.33,https://www.speedtest.net/result/c/768a6cd7-8686-47ea-b9fc-89464b925c59
Windstream - New York; NY,28032,iPrimus,237.47,0.35,100.08,148.8,16.36,28.8,0.0,2022-06-06,18:06:26.90,34.57,https://www.speedtest.net/result/c/0f92011d-2b8b-4062-87e6-254bc4855f24
i3D.net - São Paulo,21568,iPrimus,344.31,1.38,55.56,77.5,9.01,15.8,0.0,2022-06-06,18:07:06.83,39.93,https://www.speedtest.net/result/c/95c2b189-2d1f-41a1-9a55-5274954b7fd1
PW Fibra Óptica - São Paulo,34143,iPrimus,364.25,0.88,68.76,90.4,8.00,14.2,0.0,2022-06-06,18:07:44.10,37.26,https://www.speedtest.net/result/c/d59ceb41-a7c1-4e13-b0a4-95fb515b3e39
HKIX - Hong Kong,34555,iPrimus,157.85,0.80,71.40,118.4,15.88,28.1,0.4,2022-06-06,18:08:17.97,33.88,https://www.speedtest.net/result/c/a1e85e57-0558-4b89-802b-1ad3633804f8
STC - Hong Kong,1536,iPrimus,160.36,1.78,93.35,153.2,16.99,19.6,0.0,2022-06-06,18:08:48.10,30.13,https://www.speedtest.net/result/c/1de6d2c4-c888-4121-ae99-92328dc0c8c9
ORANGE FRANCE - Marseille,29545,iPrimus,328.58,1.48,83.21,119.8,13.44,23.6,0.0,2022-06-06,18:09:23.92,35.82,https://www.speedtest.net/result/c/02a3d1a9-4fe7-4b91-96ad-3ea657e6c846
LaFibre.info - Marseille,4036,iPrimus,322.36,1.65,72.46,117.2,9.17,12.1,0.0,2022-06-06,18:09:58.93,35.01,https://www.speedtest.net/result/c/b3c7d6c5-6186-40ce-b2e3-273ebb819bbb
DOM.RU - Saint Petersburg,2690,iPrimus,303.93,2.13,101.65,148.8,11.45,16.6,0.0,2022-06-06,18:10:35.03,36.1,https://www.speedtest.net/result/c/883f7603-cd09-4a14-b361-fee028fabdad
Rostelecom - Saint Petersburg,2599,iPrimus,305.93,0.49,10.22,16.1,11.27,19.3,0.0,2022-06-06,18:11:11.87,36.83,https://www.speedtest.net/result/c/e990eb81-5671-4a0a-9034-298d675348e8
University of Guam - Mangilao,11871,iPrimus,297.60,0.20,95.78,133.7,11.14,18.7,0.0,2022-06-06,18:11:48.17,36.3,https://www.speedtest.net/result/c/d01bd748-0827-48e4-ad2a-e9134767773d
Guam Department of Education - Barrigada,49594,iPrimus,354.01,0.39,33.64,47.8,8.78,14.2,0.0,2022-06-06,18:12:25.84,37.66,https://www.speedtest.net/result/c/2ca400de-6c08-4571-9d3a-88742564c140
Lumen Technologies - Seattle; WA,49421,iPrimus,192.34,0.22,76.94,91.3,14.29,20.7,0.0,2022-06-06,18:12:56.42,30.59,https://www.speedtest.net/result/c/8804d196-d474-4716-979c-6be443bf35e0
CenturyLink - Seattle; WA,8864,iPrimus,196.13,0.43,98.95,148.2,15.64,27.2,0.0,2022-06-06,18:13:30.74,34.32,https://www.speedtest.net/result/c/6a8ead56-b45b-4e21-a95a-b9bf303d9823
