Avatel Telecom - Madrid,37211,iPrimus,301.78,0.99,63.27,88.9,8.34,14.8,0.0,2022-06-06,12:37:01.53,36.5,https://www.speedtest.net/result/c/9fece3d6-9074-4d82-b08f-90d6b5452066
Telia - Helsinki,14928,iPrimus,331.78,1.14,86.30,117.9,12.98,22.1,0.0,2022-06-06,12:37:39.07,37.02,https://www.speedtest.net/result/c/cd4b9a45-f2e0-4c73-a952-b04bf8172ea7
RETN - Helsinki,31122,iPrimus,85.09,95.93,87.55,139.7,16.03,27.3,0.0,2022-06-06,12:38:15.58,36.0,https://www.speedtest.net/result/c/f3aa9e8f-ace0-4bd9-a975-5e810afda54d
Frontier - Los Angeles; CA,14236,iPrimus,181.17,0.58,73.66,123.0,15.96,19.4,0.0,2022-06-06,12:38:48.88,32.79,https://www.speedtest.net/result/c/25a024c7-28d2-4bdf-8f88-3bb2b2c48ea9
Spectrum - Los Angeles; CA,16974,iPrimus,182.10,2.83,106.15,173.0,14.58,16.0,0.0,2022-06-06,12:39:19.40,30.02,https://www.speedtest.net/result/c/cf214d91-9019-4621-85ed-c8e84aa6bc9d
Frontier - Chicago; IL,14228,iPrimus,222.26,1.07,101.23,148.2,14.00,23.8,0.0,2022-06-06,12:39:55.13,35.22,https://www.speedtest.net/result/c/0835cb9c-f51b-4823-89bf-ded55c2eee51
Windstream - Chicago; IL,17384,iPrimus,218.96,0.37,76.35,111.0,15.97,28.4,0.0,2022-06-06,12:40:30.39,34.75,https://www.speedtest.net/result/c/ce08a507-a70c-41c8-9ccd-f5406bd8a480
Frontier - Dallas; TX,14238,iPrimus,210.42,1.00,69.98,110.9,14.39,25.3,0.0,2022-06-06,12:41:06.32,35.41,https://www.speedtest.net/result/c/3807882a-6192-4b3a-aad1-3275eb3590fd
Windstream - Dallas; TX,17386,iPrimus,212.11,0.33,104.51,159.0,16.47,29.7,0.0,2022-06-06,12:41:41.65,34.82,https://www.speedtest.net/result/c/bba7d284-e9a8-403b-b534-d8046b21927e
Frontier - Miami; FL,14237,iPrimus,239.91,0.97,42.21,67.2,14.19,24.3,0.0,2022-06-06,12:42:17.71,35.54,https://www.speedtest.net/result/c/5d1d56f6-995c-46cb-ba2c-0f730e1582e1
Netprotect - Miami; FL,37499,iPrimus,230.22,2.16,93.40,142.1,16.63,29.5,0.0,2022-06-06,12:42:52.59,34.37,https://www.speedtest.net/result/c/e63bde7f-f8c5-4526-9cf7-f7b1ee328f64
Spectrum - New York; NY,16976,iPrimus,231.81,1.16,102.71,140.7,14.78,26.3,0.0,2022-06-06,12:43:28.23,35.13,https://www.speedtest.net/result/c/60a65541-0adf-4d2a-83df-a7bef3bda812
Windstream - New York; NY,28032,iPrimus,236.45,0.38,105.11,154.1,15.37,27.3,0.0,2022-06-06,12:44:03.97,35.23,https://www.speedtest.net/result/c/944241d5-debd-4ce7-bb49-bc6886bb22ac
i3D.net - São Paulo,21568,iPrimus,340.78,0.74,52.87,75.4,9.48,16.4,0.0,2022-06-06,12:44:44.45,39.97,https://www.speedtest.net/result/c/9bebd9b4-006b-495e-acad-e69a9d5f4260
PW Fibra Óptica - São Paulo,34143,iPrimus,360.33,1.73,74.19,102.3,8.02,10.0,0.0,2022-06-06,12:45:19.95,34.99,https://www.speedtest.net/result/c/ce4db15d-9d51-4db2-86ee-bd142dc89158
HKIX - Hong Kong,34555,iPrimus,157.70,0.44,90.77,131.5,16.74,28.7,0.0,2022-06-06,15:55:24.00,33.56,https://www.speedtest.net/result/c/da6496b5-b6ef-4132-b94c-2132491ace58
STC - Hong Kong,1536,iPrimus,159.80,2.68,85.20,140.7,16.76,19.8,0.0,2022-06-06,15:55:55.44,30.92,https://www.speedtest.net/result/c/46546782-7cef-4508-aefd-f44ee34e6b24
ORANGE FRANCE - Marseille,29545,iPrimus,327.33,2.24,89.30,129.0,14.14,24.8,0.0,2022-06-06,15:56:33.25,37.29,https://www.speedtest.net/result/c/d328ac7b-5c7c-4a17-ad7a-b4fd62048bd1
LaFibre.info - Marseille,4036,iPrimus,321.33,0.98,85.63,131.2,11.27,19.7,0.0,2022-06-06,15:57:10.26,36.51,https://www.speedtest.net/result/c/24358b8c-0181-45fd-b066-d2ef24db8dae
DOM.RU - Saint Petersburg,2690,iPrimus,308.79,0.17,98.68,138.2,15.90,21.4,0.0,2022-06-06,15:57:45.47,34.71,https://www.speedtest.net/result/c/e60e2ca3-86df-4bc8-9900-d2d0796b42ef
Rostelecom - Saint Petersburg,2599,iPrimus,307.53,0.85,100.40,143.1,13.93,24.4,0.0,2022-06-06,15:59:33.18,36.03,https://www.speedtest.net/result/c/73a6194a-cdec-4291-8997-9d890f232bbc
University of Guam - Mangilao,11871,iPrimus,300.66,0.36,82.18,113.3,9.12,10.1,0.0,2022-06-06,16:00:06.64,32.95,https://www.speedtest.net/result/c/08cb3dcf-e1ae-410e-b591-e6f44607ac1c
Guam Department of Education - Barrigada,49594,iPrimus,356.97,1.15,28.29,41.3,14.16,23.9,0.0,2022-06-06,16:00:44.13,36.98,https://www.speedtest.net/result/c/53f7a80a-d1e5-45dd-9f43-7455a5fe5321
Lumen Technologies - Seattle; WA,49421,iPrimus,192.72,0.83,95.93,158.2,16.41,28.1,0.0,2022-06-06,16:01:19.66,35.01,https://www.speedtest.net/result/c/d1c82fc1-27cd-49ee-acc6-2838682fe2b6
CenturyLink - Seattle; WA,8864,iPrimus,195.70,0.45,100.77,160.5,17.10,21.2,0.0,2022-06-06,16:01:52.47,32.3,https://www.speedtest.net/result/c/fd3419e1-e90c-4244-800a-da8678d92abf
